hospital_name,region,facility_size_beds,month,day_of_week,visithour,urgency_level,nurse_to_patient_ratio,specialist_availability,wait_time,patient_satisfaction
Riverside Medical Center,Rural,120,7,6,4,1,0.183,1,179.3,1.0
St. Jude General Hospital,Rural,250,7,3,1,3,0.176,1,172.5,1.6
Riverside Medical Center,Rural,120,3,6,23,2,0.275,1,161.9,2.3
Northside Community Hospital,Urban,200,10,4,16,3,0.135,0,242.1,1.0
St. Jude General Hospital,Rural,250,2,3,6,3,0.24,1,192.0,1.0
Valley Health Infirmary,Rural,120,11,0,16,1,0.184,0,159.0,1.0
Valley Health Infirmary,Rural,120,7,2,5,2,0.205,1,157.8,1.4
Metro Care Hospital,Urban,350,9,5,21,1,0.249,1,147.5,1.5
Riverside Medical Center,Rural,120,1,3,14,5,0.31,0,243.3,1.0
St. Jude General Hospital,Rural,250,4,4,4,3,0.253,1,145.4,2.1
Metro Care Hospital,Urban,350,6,0,14,5,0.172,0,220.9,1.0
St. Jude General Hospital,Rural,250,7,5,17,2,0.114,1,274.8,1.0
Riverside Medical Center,Rural,120,10,3,17,4,0.264,0,183.3,1.1
Valley Health Infirmary,Rural,120,7,6,20,2,0.222,1,213.2,1.0
Northside Community Hospital,Urban,200,10,6,20,3,0.275,1,192.2,1.0
Valley Health Infirmary,Rural,120,2,3,22,4,0.212,0,252.4,1.0
Metro Care Hospital,Urban,350,4,3,5,4,0.31,1,116.1,3.3
Northside Community Hospital,Urban,200,5,3,1,4,0.332,1,121.4,2.8
Metro Care Hospital,Urban,350,12,5,16,4,0.115,1,304.3,1.0
Riverside Medical Center,Rural,120,1,6,20,2,0.275,1,205.0,1.4
Northside Community Hospital,Urban,200,1,2,3,3,0.101,1,297.6,1.0
Metro Care Hospital,Urban,350,10,4,11,3,0.222,1,151.0,2.5
Riverside Medical Center,Rural,120,3,4,18,4,0.226,0,214.7,1.0
Valley Health Infirmary,Rural,120,10,0,1,2,0.28,1,149.9,1.6
Riverside Medical Center,Rural,120,3,1,1,5,0.201,0,197.0,1.0
St. Jude General Hospital,Rural,250,12,2,13,3,0.276,1,177.1,1.3
Riverside Medical Center,Rural,120,8,6,14,3,0.186,1,252.6,1.0
Riverside Medical Center,Rural,120,9,0,19,2,0.199,1,181.0,1.1
St. Jude General Hospital,Rural,250,11,0,1,3,0.171,1,172.3,1.0
Metro Care Hospital,Urban,350,12,3,3,4,0.263,0,179.3,1.0
Metro Care Hospital,Urban,350,1,1,18,3,0.102,0,321.6,1.0
Riverside Medical Center,Rural,120,11,6,8,5,0.204,0,210.1,1.0
St. Jude General Hospital,Rural,250,2,1,6,4,0.146,1,263.6,1.0
St. Jude General Hospital,Rural,250,10,2,12,3,0.173,1,171.2,1.0
Valley Health Infirmary,Rural,120,2,1,11,4,0.102,1,302.3,1.0
Metro Care Hospital,Urban,350,4,0,2,3,0.164,1,167.5,1.3
Northside Community Hospital,Urban,200,2,1,12,3,0.2,1,197.9,1.0
Metro Care Hospital,Urban,350,7,1,14,2,0.223,1,169.6,1.5
Metro Care Hospital,Urban,350,9,4,13,3,0.182,0,169.4,1.0
Valley Health Infirmary,Rural,120,7,6,23,3,0.255,0,171.9,1.8
Northside Community Hospital,Urban,200,12,6,8,4,0.187,1,224.5,1.0
Valley Health Infirmary,Rural,120,6,0,12,3,0.204,1,174.0,2.0
Northside Community Hospital,Urban,200,10,5,22,2,0.3,1,157.0,1.7
Riverside Medical Center,Rural,120,1,1,21,3,0.215,1,216.3,1.0
Northside Community Hospital,Urban,200,11,1,3,1,0.339,1,78.6,2.8
Valley Health Infirmary,Rural,120,10,3,20,4,0.203,1,189.9,1.0
Metro Care Hospital,Urban,350,9,6,7,4,0.31,0,154.8,1.1
Northside Community Hospital,Urban,200,5,1,2,3,0.29,0,142.2,1.4
Northside Community Hospital,Urban,200,11,6,1,4,0.325,0,162.3,2.3
St. Jude General Hospital,Rural,250,5,1,18,3,0.34,0,153.8,1.0
Metro Care Hospital,Urban,350,6,4,22,3,0.122,1,240.9,1.0
Riverside Medical Center,Rural,120,9,0,7,2,0.14,1,200.1,1.0
Valley Health Infirmary,Rural,120,8,6,16,3,0.257,1,197.9,1.0
Riverside Medical Center,Rural,120,8,2,12,4,0.181,1,191.1,1.0
Metro Care Hospital,Urban,350,8,0,6,2,0.285,0,128.9,1.0
Northside Community Hospital,Urban,200,1,3,8,3,0.086,1,323.4,1.0
Northside Community Hospital,Urban,200,1,0,11,3,0.286,1,172.0,1.0
Metro Care Hospital,Urban,350,8,1,13,2,0.136,1,196.5,1.0
Northside Community Hospital,Urban,200,5,3,13,2,0.187,1,154.3,1.5
Northside Community Hospital,Urban,200,9,0,14,2,0.343,1,130.2,2.8
Northside Community Hospital,Urban,200,2,3,2,5,0.1,1,310.6,1.0
Valley Health Infirmary,Rural,120,9,2,14,4,0.2,0,192.9,1.8
Valley Health Infirmary,Rural,120,12,0,18,3,0.128,0,283.4,1.0
St. Jude General Hospital,Rural,250,8,6,23,4,0.305,1,180.0,1.0
Riverside Medical Center,Rural,120,9,6,19,1,0.282,1,158.9,1.5
Metro Care Hospital,Urban,350,4,5,13,3,0.304,1,137.4,2.6
Metro Care Hospital,Urban,350,1,1,7,2,0.21,1,153.2,1.1
Metro Care Hospital,Urban,350,1,3,4,2,0.19,1,180.1,2.0
St. Jude General Hospital,Rural,250,5,5,18,4,0.121,0,284.9,1.0
Valley Health Infirmary,Rural,120,2,5,3,2,0.156,0,212.6,1.0
St. Jude General Hospital,Rural,250,8,4,13,4,0.215,0,200.4,1.0
Metro Care Hospital,Urban,350,10,3,15,3,0.273,1,163.1,1.2
Riverside Medical Center,Rural,120,11,5,19,1,0.173,1,223.0,1.0
Northside Community Hospital,Urban,200,5,4,23,4,0.152,1,231.3,1.0
Valley Health Infirmary,Rural,120,5,5,5,3,0.166,1,205.1,1.2
Valley Health Infirmary,Rural,120,2,1,22,3,0.174,0,236.2,1.0
St. Jude General Hospital,Rural,250,7,2,5,2,0.132,0,225.0,1.0
Valley Health Infirmary,Rural,120,8,4,2,1,0.133,1,193.2,1.0
Metro Care Hospital,Urban,350,10,2,14,5,0.13,1,286.5,1.0
Metro Care Hospital,Urban,350,1,3,2,3,0.298,0,149.6,1.6
St. Jude General Hospital,Rural,250,2,1,10,1,0.158,1,195.3,1.2
Metro Care Hospital,Urban,350,10,4,2,4,0.309,1,139.9,1.9
Riverside Medical Center,Rural,120,4,3,9,2,0.221,0,152.9,2.5
St. Jude General Hospital,Rural,250,5,5,17,2,0.265,1,162.1,1.5
Riverside Medical Center,Rural,120,2,6,0,2,0.099,0,293.8,1.0
Northside Community Hospital,Urban,200,1,0,15,3,0.228,1,172.7,1.9
Riverside Medical Center,Rural,120,9,3,15,1,0.187,0,186.1,1.0
Northside Community Hospital,Urban,200,1,2,9,3,0.115,1,291.0,1.0
Northside Community Hospital,Urban,200,4,1,0,4,0.329,1,133.7,1.7
Riverside Medical Center,Rural,120,2,1,3,2,0.23,1,152.6,1.2
St. Jude General Hospital,Rural,250,11,3,2,3,0.176,0,199.6,1.0
Metro Care Hospital,Urban,350,4,5,4,3,0.217,0,170.2,1.0
Metro Care Hospital,Urban,350,8,0,11,3,0.187,1,186.7,1.0
Northside Community Hospital,Urban,200,8,2,11,5,0.261,0,192.1,1.0
Northside Community Hospital,Urban,200,11,3,12,3,0.26,1,135.3,1.0
St. Jude General Hospital,Rural,250,12,3,23,1,0.088,1,287.8,1.0
Valley Health Infirmary,Rural,120,9,6,11,3,0.166,0,207.3,1.0
Riverside Medical Center,Rural,120,11,1,15,2,0.23,1,163.5,1.3
Northside Community Hospital,Urban,200,12,2,12,3,0.211,1,195.0,1.0
Metro Care Hospital,Urban,350,5,0,4,1,0.239,1,113.7,2.3
St. Jude General Hospital,Rural,250,7,1,23,2,0.267,1,140.0,2.0
Riverside Medical Center,Rural,120,3,3,3,3,0.277,1,152.1,2.1
St. Jude General Hospital,Rural,250,10,1,20,2,0.206,0,183.7,1.0
Riverside Medical Center,Rural,120,4,1,14,3,0.322,0,177.1,1.4
Riverside Medical Center,Rural,120,10,4,11,2,0.134,1,212.8,1.0
Northside Community Hospital,Urban,200,9,1,18,5,0.254,1,220.4,1.0
St. Jude General Hospital,Rural,250,10,5,20,2,0.338,0,161.3,1.9
St. Jude General Hospital,Rural,250,10,1,18,5,0.246,0,210.8,1.0
Metro Care Hospital,Urban,350,12,5,20,3,0.188,0,220.4,1.0
Metro Care Hospital,Urban,350,1,2,10,4,0.134,0,256.5,1.0
Northside Community Hospital,Urban,200,2,1,20,2,0.294,0,173.7,1.0
Northside Community Hospital,Urban,200,5,0,5,3,0.206,1,151.5,1.4
Valley Health Infirmary,Rural,120,3,5,8,3,0.281,1,147.2,1.7
Metro Care Hospital,Urban,350,2,5,0,3,0.136,0,228.0,1.0
Riverside Medical Center,Rural,120,1,3,11,3,0.09,0,297.7,1.0
St. Jude General Hospital,Rural,250,10,2,13,3,0.19,1,158.8,1.0
Northside Community Hospital,Urban,200,3,1,5,3,0.185,1,189.2,1.0
St. Jude General Hospital,Rural,250,1,6,0,1,0.309,0,136.9,2.1
St. Jude General Hospital,Rural,250,12,0,21,2,0.296,1,174.7,1.6
Valley Health Infirmary,Rural,120,1,3,1,3,0.217,1,177.5,1.0
Metro Care Hospital,Urban,350,12,2,23,1,0.107,1,215.6,1.0
Northside Community Hospital,Urban,200,1,5,10,2,0.133,1,232.0,1.0
St. Jude General Hospital,Rural,250,8,0,2,2,0.241,1,152.2,1.3
Northside Community Hospital,Urban,200,3,1,9,2,0.143,1,204.0,1.0
Riverside Medical Center,Rural,120,11,6,5,3,0.281,1,158.7,1.5
Valley Health Infirmary,Rural,120,1,4,5,3,0.094,0,309.5,1.0
Riverside Medical Center,Rural,120,7,4,19,5,0.266,1,209.9,1.0
Northside Community Hospital,Urban,200,10,2,20,3,0.314,0,148.1,2.3
Northside Community Hospital,Urban,200,3,6,1,5,0.228,0,207.6,1.0
Metro Care Hospital,Urban,350,8,0,23,3,0.295,1,142.3,1.0
St. Jude General Hospital,Rural,250,4,3,9,5,0.3,1,182.7,1.0
St. Jude General Hospital,Rural,250,4,0,22,4,0.274,1,165.9,1.0
Riverside Medical Center,Rural,120,5,6,5,3,0.222,0,168.1,1.9
Valley Health Infirmary,Rural,120,6,5,22,3,0.183,1,220.9,1.0
St. Jude General Hospital,Rural,250,7,4,16,2,0.296,1,159.5,2.1
Metro Care Hospital,Urban,350,4,2,13,2,0.269,0,140.5,1.8
Riverside Medical Center,Rural,120,8,1,4,5,0.289,1,185.9,1.5
Riverside Medical Center,Rural,120,6,0,22,5,0.247,1,201.7,1.0
Metro Care Hospital,Urban,350,1,4,16,4,0.124,0,266.7,1.0
Valley Health Infirmary,Rural,120,1,3,1,4,0.323,0,166.3,1.9
Metro Care Hospital,Urban,350,9,2,8,5,0.162,1,215.1,1.0
Valley Health Infirmary,Rural,120,10,1,11,3,0.33,1,143.5,2.8
Metro Care Hospital,Urban,350,6,0,18,3,0.168,0,205.7,1.0
Metro Care Hospital,Urban,350,10,3,21,3,0.206,1,172.0,1.0
Northside Community Hospital,Urban,200,8,1,6,3,0.198,0,166.1,1.4
Riverside Medical Center,Rural,120,7,5,8,1,0.319,1,140.0,1.5
Metro Care Hospital,Urban,350,12,4,20,3,0.304,1,162.6,1.6
Metro Care Hospital,Urban,350,6,5,15,3,0.309,0,155.3,1.5
St. Jude General Hospital,Rural,250,4,4,19,3,0.207,1,176.1,1.3
Riverside Medical Center,Rural,120,7,3,10,4,0.111,1,261.2,1.0
St. Jude General Hospital,Rural,250,9,5,11,3,0.277,1,172.0,1.0
Riverside Medical Center,Rural,120,11,4,14,2,0.215,1,172.1,1.2
St. Jude General Hospital,Rural,250,10,2,17,4,0.294,1,149.0,2.1
Metro Care Hospital,Urban,350,10,3,18,3,0.303,1,149.4,2.6
Metro Care Hospital,Urban,350,7,4,15,2,0.194,0,180.1,1.0
Northside Community Hospital,Urban,200,1,0,14,3,0.265,1,169.1,1.1
St. Jude General Hospital,Rural,250,10,4,4,3,0.313,0,141.7,2.1
Valley Health Infirmary,Rural,120,9,5,10,5,0.334,0,187.1,1.0
Northside Community Hospital,Urban,200,4,2,14,3,0.254,0,183.4,1.0
St. Jude General Hospital,Rural,250,3,1,17,2,0.299,1,144.6,1.4
St. Jude General Hospital,Rural,250,4,1,12,3,0.234,1,135.9,2.0
Northside Community Hospital,Urban,200,4,4,3,4,0.13,0,238.4,1.0
Metro Care Hospital,Urban,350,10,1,16,3,0.156,0,206.5,1.0
St. Jude General Hospital,Rural,250,11,4,3,4,0.149,1,207.7,1.0
Metro Care Hospital,Urban,350,2,2,15,2,0.136,1,256.4,1.0
Northside Community Hospital,Urban,200,12,1,22,4,0.091,1,332.5,1.0
Metro Care Hospital,Urban,350,1,5,14,4,0.3,1,194.7,1.0
Riverside Medical Center,Rural,120,12,5,13,4,0.225,1,217.7,1.0
Valley Health Infirmary,Rural,120,10,0,11,3,0.208,0,177.7,1.0
St. Jude General Hospital,Rural,250,12,4,2,4,0.177,1,237.0,1.0
Valley Health Infirmary,Rural,120,1,1,9,3,0.194,1,200.3,1.0
Metro Care Hospital,Urban,350,8,5,7,4,0.12,1,266.6,1.0
St. Jude General Hospital,Rural,250,2,6,5,3,0.168,0,208.4,1.0
Metro Care Hospital,Urban,350,12,2,21,2,0.279,0,167.4,1.2
Riverside Medical Center,Rural,120,10,2,13,3,0.291,0,167.0,2.2
Northside Community Hospital,Urban,200,5,6,16,3,0.25,1,184.6,1.3
St. Jude General Hospital,Rural,250,12,6,20,3,0.203,1,236.8,1.0
Riverside Medical Center,Rural,120,4,0,18,3,0.18,0,196.7,1.0
Riverside Medical Center,Rural,120,8,2,15,3,0.215,1,200.5,1.0
St. Jude General Hospital,Rural,250,2,2,14,4,0.227,1,212.6,1.0
Metro Care Hospital,Urban,350,10,1,14,2,0.284,1,141.5,2.8
Riverside Medical Center,Rural,120,9,4,0,3,0.158,1,201.9,1.0
Valley Health Infirmary,Rural,120,7,3,23,4,0.294,1,181.7,1.2
Riverside Medical Center,Rural,120,7,2,22,3,0.172,1,222.6,1.0
Metro Care Hospital,Urban,350,1,2,22,3,0.217,1,206.3,1.0
Metro Care Hospital,Urban,350,12,3,11,3,0.237,1,166.4,1.0
Valley Health Infirmary,Rural,120,2,2,9,3,0.198,0,187.1,1.0
Riverside Medical Center,Rural,120,4,1,13,2,0.252,1,113.7,2.8
Metro Care Hospital,Urban,350,4,1,9,3,0.146,0,197.7,1.0
St. Jude General Hospital,Rural,250,11,3,9,5,0.219,0,179.2,1.9
Northside Community Hospital,Urban,200,3,5,19,3,0.185,0,222.5,1.0
Northside Community Hospital,Urban,200,7,2,10,1,0.117,1,204.8,1.0
Northside Community Hospital,Urban,200,12,5,21,4,0.144,1,292.7,1.0
Riverside Medical Center,Rural,120,8,2,15,3,0.229,0,217.4,1.0
Valley Health Infirmary,Rural,120,2,4,8,2,0.15,1,214.3,1.0
Metro Care Hospital,Urban,350,4,2,14,4,0.162,1,198.7,1.0
St. Jude General Hospital,Rural,250,3,1,13,2,0.247,1,130.9,1.6
St. Jude General Hospital,Rural,250,2,0,18,5,0.307,0,198.0,1.0
Riverside Medical Center,Rural,120,12,6,8,3,0.289,0,169.9,1.0
Northside Community Hospital,Urban,200,6,0,3,4,0.328,1,141.3,1.9
Riverside Medical Center,Rural,120,4,0,20,3,0.254,1,191.6,1.0
Valley Health Infirmary,Rural,120,6,0,6,2,0.214,1,148.2,1.3
Valley Health Infirmary,Rural,120,2,6,21,3,0.256,1,224.3,1.0
Metro Care Hospital,Urban,350,12,5,7,5,0.166,1,244.1,1.0
Metro Care Hospital,Urban,350,4,6,23,4,0.138,0,232.2,1.0
Valley Health Infirmary,Rural,120,11,5,7,3,0.199,1,205.5,1.0
Valley Health Infirmary,Rural,120,6,6,18,5,0.189,1,249.8,1.0
Valley Health Infirmary,Rural,120,5,6,14,2,0.275,0,182.2,1.0
Riverside Medical Center,Rural,120,3,2,15,1,0.247,0,149.4,2.1
Valley Health Infirmary,Rural,120,8,5,21,1,0.126,1,261.6,1.0
St. Jude General Hospital,Rural,250,7,2,22,4,0.304,1,177.1,1.0
Northside Community Hospital,Urban,200,3,4,8,4,0.256,0,164.5,2.3
Valley Health Infirmary,Rural,120,6,2,11,3,0.225,0,168.4,1.4
Northside Community Hospital,Urban,200,4,0,15,5,0.336,0,190.4,1.1
Riverside Medical Center,Rural,120,11,3,3,3,0.142,1,223.1,1.0
Northside Community Hospital,Urban,200,5,3,4,3,0.302,1,124.6,1.5
Riverside Medical Center,Rural,120,11,1,7,2,0.204,1,181.9,1.7
St. Jude General Hospital,Rural,250,5,1,0,5,0.28,1,166.7,1.4
Riverside Medical Center,Rural,120,7,2,5,2,0.314,1,144.2,2.3
Riverside Medical Center,Rural,120,11,6,14,3,0.239,0,171.2,1.1
Metro Care Hospital,Urban,350,5,6,3,3,0.125,1,241.8,1.0
Valley Health Infirmary,Rural,120,11,3,20,2,0.127,0,253.1,1.0
Valley Health Infirmary,Rural,120,3,0,10,3,0.196,0,181.9,1.1
St. Jude General Hospital,Rural,250,10,5,4,2,0.3,0,104.1,2.5
St. Jude General Hospital,Rural,250,5,0,17,5,0.186,1,220.5,1.0
Valley Health Infirmary,Rural,120,7,0,23,3,0.171,1,192.3,1.0
Metro Care Hospital,Urban,350,5,2,14,3,0.3,1,162.0,1.7
Valley Health Infirmary,Rural,120,5,2,17,4,0.147,1,238.9,1.0
Metro Care Hospital,Urban,350,9,4,19,3,0.315,0,151.3,1.0
St. Jude General Hospital,Rural,250,3,0,12,5,0.181,1,203.8,1.0
Northside Community Hospital,Urban,200,6,6,4,2,0.132,1,234.7,1.0
St. Jude General Hospital,Rural,250,1,6,0,1,0.128,0,231.2,1.0
St. Jude General Hospital,Rural,250,10,0,21,1,0.339,1,109.9,2.1
Riverside Medical Center,Rural,120,5,2,17,4,0.224,1,196.6,1.9
Riverside Medical Center,Rural,120,8,2,13,5,0.161,0,236.4,1.0
Riverside Medical Center,Rural,120,5,4,4,3,0.24,0,122.5,1.7
Riverside Medical Center,Rural,120,9,4,5,3,0.277,1,168.8,1.0
Metro Care Hospital,Urban,350,11,1,23,1,0.193,0,148.0,1.0
Valley Health Infirmary,Rural,120,6,3,15,2,0.287,1,155.7,1.0
Northside Community Hospital,Urban,200,8,0,21,3,0.151,1,249.1,1.0
St. Jude General Hospital,Rural,250,10,6,20,1,0.146,1,213.3,1.0
Metro Care Hospital,Urban,350,8,0,11,3,0.221,0,163.9,1.7
Northside Community Hospital,Urban,200,3,4,19,3,0.155,1,236.9,1.0
Metro Care Hospital,Urban,350,7,4,17,4,0.313,1,167.3,1.0
Metro Care Hospital,Urban,350,7,1,1,3,0.104,1,266.7,1.0
St. Jude General Hospital,Rural,250,10,3,22,3,0.294,1,136.1,2.4
Valley Health Infirmary,Rural,120,12,1,20,3,0.148,1,261.9,1.0
Riverside Medical Center,Rural,120,6,6,22,1,0.315,1,147.9,1.9
Valley Health Infirmary,Rural,120,12,3,12,4,0.108,1,292.2,1.0
St. Jude General Hospital,Rural,250,7,5,16,2,0.317,1,159.8,2.2
St. Jude General Hospital,Rural,250,2,0,16,1,0.124,1,241.1,1.0
St. Jude General Hospital,Rural,250,9,1,15,3,0.301,1,169.1,1.6
Northside Community Hospital,Urban,200,10,4,20,4,0.239,1,192.8,1.0
Valley Health Infirmary,Rural,120,10,1,17,2,0.219,1,211.9,1.0
Valley Health Infirmary,Rural,120,1,5,7,1,0.158,0,199.6,1.4
Metro Care Hospital,Urban,350,1,1,2,2,0.297,1,137.5,2.1
Metro Care Hospital,Urban,350,3,0,16,3,0.166,0,215.2,1.0
Metro Care Hospital,Urban,350,3,5,17,3,0.286,1,162.1,1.8
St. Jude General Hospital,Rural,250,1,4,22,2,0.212,0,178.3,1.1
Valley Health Infirmary,Rural,120,12,4,5,4,0.322,1,168.2,1.1
St. Jude General Hospital,Rural,250,7,2,7,4,0.24,1,158.1,2.6
Northside Community Hospital,Urban,200,4,5,22,3,0.144,1,239.6,1.0
Metro Care Hospital,Urban,350,10,2,12,3,0.216,1,155.4,2.4
St. Jude General Hospital,Rural,250,2,2,7,3,0.104,0,308.0,1.0
St. Jude General Hospital,Rural,250,10,0,18,3,0.186,1,220.4,1.0
Northside Community Hospital,Urban,200,5,1,5,3,0.199,1,163.9,1.8
Riverside Medical Center,Rural,120,6,4,22,1,0.316,1,144.1,2.0
Valley Health Infirmary,Rural,120,9,4,14,3,0.313,0,159.2,1.2
Riverside Medical Center,Rural,120,4,1,9,3,0.123,0,228.2,1.4
Metro Care Hospital,Urban,350,2,4,16,2,0.206,1,186.6,1.0
St. Jude General Hospital,Rural,250,5,1,0,2,0.171,0,142.3,1.6
Northside Community Hospital,Urban,200,3,5,6,2,0.194,0,153.9,1.5
Northside Community Hospital,Urban,200,2,0,12,5,0.092,0,343.5,1.0
Valley Health Infirmary,Rural,120,12,0,2,2,0.255,1,177.8,1.3
Riverside Medical Center,Rural,120,1,6,18,4,0.299,0,188.9,1.0
Valley Health Infirmary,Rural,120,10,0,14,3,0.17,1,237.2,1.0
St. Jude General Hospital,Rural,250,2,1,4,4,0.166,1,238.1,1.0
Valley Health Infirmary,Rural,120,6,6,10,3,0.167,1,207.6,1.0
Northside Community Hospital,Urban,200,8,1,21,5,0.315,1,202.2,1.0
Northside Community Hospital,Urban,200,3,3,17,2,0.122,1,264.7,1.0
Metro Care Hospital,Urban,350,11,6,2,3,0.254,0,165.9,1.0
Metro Care Hospital,Urban,350,9,4,5,2,0.32,0,109.4,2.0
St. Jude General Hospital,Rural,250,12,4,2,3,0.127,0,237.7,1.0
Riverside Medical Center,Rural,120,9,3,4,3,0.256,1,149.2,1.9
Valley Health Infirmary,Rural,120,2,3,8,3,0.101,1,299.7,1.0
St. Jude General Hospital,Rural,250,8,0,18,3,0.278,1,178.5,1.0
Metro Care Hospital,Urban,350,10,3,12,1,0.183,1,152.0,1.5
Valley Health Infirmary,Rural,120,11,1,5,3,0.347,0,114.1,2.0
Metro Care Hospital,Urban,350,12,2,10,3,0.317,1,146.5,1.6
Valley Health Infirmary,Rural,120,5,1,20,2,0.288,0,163.1,1.4
Riverside Medical Center,Rural,120,4,6,20,5,0.234,1,228.8,1.0
St. Jude General Hospital,Rural,250,10,3,13,5,0.296,0,190.6,1.0
Valley Health Infirmary,Rural,120,5,4,5,4,0.15,1,215.0,1.0
Northside Community Hospital,Urban,200,4,1,5,4,0.191,1,189.6,1.3
Northside Community Hospital,Urban,200,8,4,16,1,0.106,0,269.0,1.0
Valley Health Infirmary,Rural,120,4,1,10,5,0.268,1,190.5,1.0
Valley Health Infirmary,Rural,120,10,4,14,3,0.305,1,162.3,1.1
Valley Health Infirmary,Rural,120,12,5,8,2,0.322,1,155.5,1.5
Northside Community Hospital,Urban,200,6,1,20,4,0.278,1,189.3,1.2
Northside Community Hospital,Urban,200,2,6,16,2,0.275,1,194.3,1.0
Valley Health Infirmary,Rural,120,5,4,23,3,0.326,1,136.8,3.1
Metro Care Hospital,Urban,350,6,2,6,2,0.335,1,78.0,3.4
Metro Care Hospital,Urban,350,5,6,6,3,0.233,1,160.6,1.5
Riverside Medical Center,Rural,120,12,0,20,3,0.107,1,326.7,1.0
St. Jude General Hospital,Rural,250,2,1,0,3,0.197,1,197.2,1.0
Metro Care Hospital,Urban,350,7,2,7,1,0.237,1,112.9,3.3
Northside Community Hospital,Urban,200,4,0,4,3,0.265,0,127.1,1.8
Metro Care Hospital,Urban,350,8,1,18,3,0.325,1,164.0,1.0
Riverside Medical Center,Rural,120,7,2,7,2,0.306,1,129.5,2.1
Riverside Medical Center,Rural,120,7,2,16,5,0.183,0,267.3,1.0
St. Jude General Hospital,Rural,250,9,6,18,3,0.146,1,259.3,1.0
Metro Care Hospital,Urban,350,1,5,11,4,0.136,0,255.8,1.0
Northside Community Hospital,Urban,200,10,2,22,2,0.16,1,209.8,1.2
Northside Community Hospital,Urban,200,6,5,14,3,0.202,1,215.1,1.0
Valley Health Infirmary,Rural,120,6,3,3,2,0.322,1,107.2,2.2
Northside Community Hospital,Urban,200,6,6,22,3,0.221,1,221.3,1.0
St. Jude General Hospital,Rural,250,12,4,11,2,0.231,1,165.8,1.1
St. Jude General Hospital,Rural,250,6,6,12,3,0.161,0,207.8,1.0
Northside Community Hospital,Urban,200,12,0,13,3,0.21,1,199.8,1.0
Northside Community Hospital,Urban,200,10,4,4,2,0.321,1,119.0,2.0
Valley Health Infirmary,Rural,120,7,4,21,3,0.275,1,170.0,2.3
Northside Community Hospital,Urban,200,10,5,15,5,0.139,1,274.9,1.0
Valley Health Infirmary,Rural,120,6,4,6,2,0.318,1,96.6,2.4
Valley Health Infirmary,Rural,120,1,2,14,4,0.172,1,256.5,1.0
Northside Community Hospital,Urban,200,3,5,12,4,0.273,1,178.9,2.3
Riverside Medical Center,Rural,120,2,4,15,3,0.117,1,290.6,1.0
Riverside Medical Center,Rural,120,6,5,11,4,0.275,0,164.2,1.0
Valley Health Infirmary,Rural,120,8,3,6,5,0.118,1,278.9,1.0
Northside Community Hospital,Urban,200,3,5,15,3,0.258,1,182.5,1.0
Riverside Medical Center,Rural,120,10,1,22,3,0.269,1,185.4,1.0
Northside Community Hospital,Urban,200,8,2,22,3,0.164,1,245.2,1.0
Northside Community Hospital,Urban,200,8,0,12,3,0.322,1,107.2,2.9
Northside Community Hospital,Urban,200,5,1,22,3,0.131,1,247.1,1.0
Metro Care Hospital,Urban,350,8,1,2,5,0.311,1,153.3,2.0
Northside Community Hospital,Urban,200,6,1,14,4,0.208,1,203.6,1.0
Metro Care Hospital,Urban,350,5,4,2,2,0.284,1,122.3,2.6
Valley Health Infirmary,Rural,120,9,5,6,2,0.27,1,143.7,1.9
Riverside Medical Center,Rural,120,7,5,17,5,0.133,1,315.3,1.0
Riverside Medical Center,Rural,120,8,6,13,1,0.177,1,209.1,1.0
Riverside Medical Center,Rural,120,1,4,17,3,0.206,0,215.5,1.0
Riverside Medical Center,Rural,120,11,2,18,2,0.315,1,145.5,2.2
Riverside Medical Center,Rural,120,2,4,13,1,0.306,0,129.2,2.4
Riverside Medical Center,Rural,120,8,4,19,1,0.108,0,291.6,1.0
Riverside Medical Center,Rural,120,12,4,5,3,0.189,1,198.8,1.0
Valley Health Infirmary,Rural,120,9,2,7,1,0.274,1,136.2,2.7
Northside Community Hospital,Urban,200,4,6,6,3,0.241,0,167.2,1.9
St. Jude General Hospital,Rural,250,12,2,19,3,0.322,1,175.2,1.0
Metro Care Hospital,Urban,350,10,3,17,3,0.124,1,253.7,1.0
St. Jude General Hospital,Rural,250,11,6,17,4,0.221,1,207.4,1.0
St. Jude General Hospital,Rural,250,10,3,14,3,0.274,0,174.9,1.4
Northside Community Hospital,Urban,200,9,3,19,3,0.17,1,210.2,1.0
Northside Community Hospital,Urban,200,4,3,21,3,0.287,1,150.6,1.6
Northside Community Hospital,Urban,200,10,5,18,3,0.139,1,266.7,1.0
Riverside Medical Center,Rural,120,10,1,21,5,0.224,1,228.3,1.0
Valley Health Infirmary,Rural,120,10,1,20,3,0.276,1,166.0,1.0
Riverside Medical Center,Rural,120,9,3,20,3,0.181,1,226.4,1.0
Valley Health Infirmary,Rural,120,11,3,1,4,0.137,0,225.8,1.0
Valley Health Infirmary,Rural,120,7,0,7,3,0.315,1,153.1,1.2
St. Jude General Hospital,Rural,250,2,1,20,2,0.31,1,140.4,1.5
St. Jude General Hospital,Rural,250,9,0,10,3,0.333,1,119.1,1.8
Valley Health Infirmary,Rural,120,4,6,17,4,0.345,1,176.8,1.6
Valley Health Infirmary,Rural,120,8,0,22,3,0.144,1,235.5,1.0
