hospital_name,region,facility_size_beds,month,day_of_week,visithour,urgency_level,nurse_to_patient_ratio,specialist_availability,wait_time,patient_satisfaction
Northside Community Hospital,Rural,27,3,4,5,4,0.5,3,26,4
Northside Community Hospital,Rural,41,4,2,20,4,0.5,0,29,4
Riverside Medical Center,Urban,53,11,3,20,1,0.25,10,115,1
Summit Health Center,Urban,184,8,6,6,2,0.3333333333333333,10,88,2
Springfield General Hospital,Urban,152,2,6,14,2,0.25,7,76,2
Springfield General Hospital,Urban,95,11,5,8,1,0.25,6,122,1
St. Mary’s Regional Health,Rural,12,5,3,6,3,0.3333333333333333,3,32,4
Northside Community Hospital,Rural,25,6,4,10,2,0.3333333333333333,0,111,1
Riverside Medical Center,Urban,141,10,5,11,3,0.3333333333333333,5,26,4
Northside Community Hospital,Rural,12,5,6,17,2,0.25,2,106,1
Springfield General Hospital,Urban,95,8,2,18,4,1.0,7,12,4
Riverside Medical Center,Urban,53,10,2,21,3,0.25,8,41,3
Springfield General Hospital,Urban,167,3,3,17,4,1.0,5,12,4
Summit Health Center,Urban,55,12,4,19,3,0.3333333333333333,8,50,3
Summit Health Center,Urban,79,6,5,17,4,1.0,3,10,5
Northside Community Hospital,Rural,35,12,6,13,2,0.3333333333333333,0,90,2
Summit Health Center,Urban,53,1,6,16,4,1.0,6,13,5
Summit Health Center,Urban,138,4,1,12,3,0.25,9,45,4
Riverside Medical Center,Urban,195,12,5,16,3,0.25,1,57,3
Riverside Medical Center,Urban,140,7,3,6,3,0.25,1,35,4
Springfield General Hospital,Urban,57,5,5,12,3,0.3333333333333333,6,21,4
St. Mary’s Regional Health,Rural,41,10,2,9,2,0.3333333333333333,3,49,3
Northside Community Hospital,Rural,41,5,1,15,4,1.0,0,14,5
Riverside Medical Center,Urban,142,12,0,9,2,0.3333333333333333,1,109,2
Riverside Medical Center,Urban,147,12,6,19,3,0.3333333333333333,9,37,4
St. Mary’s Regional Health,Rural,39,11,5,3,1,0.2,1,131,1
Riverside Medical Center,Urban,150,2,1,6,1,0.2,3,223,1
Northside Community Hospital,Rural,44,4,2,3,2,0.3333333333333333,0,70,3
Summit Health Center,Urban,191,11,4,11,1,0.25,6,162,1
Riverside Medical Center,Urban,123,11,5,6,4,1.0,8,15,5
Northside Community Hospital,Rural,25,3,5,14,4,1.0,3,12,5
Riverside Medical Center,Urban,62,9,4,13,2,0.3333333333333333,1,71,2
Riverside Medical Center,Urban,72,10,2,7,2,0.3333333333333333,1,66,3
Riverside Medical Center,Urban,110,5,3,2,2,0.25,5,129,1
Northside Community Hospital,Rural,29,12,3,10,1,0.2,0,181,1
Summit Health Center,Urban,141,2,3,21,1,0.25,3,244,1
Riverside Medical Center,Urban,116,3,4,13,4,1.0,2,19,5
Northside Community Hospital,Rural,44,1,4,14,1,0.25,1,297,1
Springfield General Hospital,Urban,140,8,3,13,4,1.0,8,12,5
Riverside Medical Center,Urban,117,1,0,21,3,0.25,8,65,3
Summit Health Center,Urban,117,6,3,2,1,0.2,2,186,1
Northside Community Hospital,Rural,49,3,6,7,4,1.0,2,14,5
St. Mary’s Regional Health,Rural,42,10,3,2,1,0.2,2,136,1
Summit Health Center,Urban,148,8,1,14,2,0.3333333333333333,7,85,2
Riverside Medical Center,Urban,71,10,2,5,2,0.25,2,98,2
Summit Health Center,Urban,157,9,4,1,4,1.0,2,14,4
Northside Community Hospital,Rural,30,11,5,0,1,0.25,0,157,1
Summit Health Center,Urban,132,5,1,22,1,0.2,4,160,1
Summit Health Center,Urban,81,2,5,23,4,1.0,7,18,4
Summit Health Center,Urban,164,10,0,12,1,0.2,4,127,1
Northside Community Hospital,Rural,18,5,4,15,4,1.0,0,10,5
Northside Community Hospital,Rural,22,5,2,9,1,0.2,1,128,1
Summit Health Center,Urban,75,3,4,14,2,0.3333333333333333,4,104,1
Riverside Medical Center,Urban,56,12,6,11,1,0.25,7,168,1
St. Mary’s Regional Health,Rural,40,9,2,22,2,0.25,1,64,3
St. Mary’s Regional Health,Rural,43,11,1,21,1,0.25,2,220,1
Riverside Medical Center,Urban,83,7,1,0,3,0.3333333333333333,3,42,3
Summit Health Center,Urban,76,1,3,23,3,0.3333333333333333,5,35,3
Riverside Medical Center,Urban,88,3,3,4,3,0.25,6,41,3
Riverside Medical Center,Urban,147,1,6,2,4,0.5,4,10,5
Riverside Medical Center,Urban,80,8,4,12,3,0.3333333333333333,8,38,4
St. Mary’s Regional Health,Rural,16,9,2,11,3,0.25,3,31,4
St. Mary’s Regional Health,Rural,49,2,1,0,3,0.3333333333333333,2,70,3
Springfield General Hospital,Urban,99,1,3,5,1,0.25,4,210,1
Springfield General Hospital,Urban,189,10,0,22,4,0.5,2,36,4
St. Mary’s Regional Health,Rural,34,6,5,9,4,0.5,3,21,4
Northside Community Hospital,Rural,17,3,4,19,2,0.25,1,98,1
Riverside Medical Center,Urban,175,1,4,19,4,0.5,7,44,3
Northside Community Hospital,Rural,46,5,0,15,3,0.3333333333333333,1,29,4
Riverside Medical Center,Urban,72,7,4,23,2,0.3333333333333333,9,86,2
Northside Community Hospital,Rural,47,1,2,19,2,0.3333333333333333,0,87,3
Northside Community Hospital,Rural,32,10,6,20,3,0.25,1,36,4
Riverside Medical Center,Urban,181,10,0,13,3,0.25,8,62,3
St. Mary’s Regional Health,Rural,41,8,2,9,4,0.5,0,9,4
Summit Health Center,Urban,193,8,4,4,1,0.25,9,189,1
Northside Community Hospital,Rural,39,10,0,18,1,0.25,0,129,1
Northside Community Hospital,Rural,35,2,4,21,4,1.0,2,24,5
St. Mary’s Regional Health,Rural,12,6,6,21,2,0.25,0,123,1
Riverside Medical Center,Urban,94,2,4,19,3,0.3333333333333333,1,36,3
Summit Health Center,Urban,189,3,6,11,4,0.5,6,14,5
Northside Community Hospital,Rural,10,6,4,19,3,0.3333333333333333,0,41,4
Riverside Medical Center,Urban,163,3,5,14,3,0.25,3,44,4
Northside Community Hospital,Rural,43,3,0,10,4,0.5,0,41,4
Summit Health Center,Urban,79,3,2,9,1,0.2,9,167,1
Northside Community Hospital,Rural,18,9,0,13,3,0.25,0,37,3
Northside Community Hospital,Rural,12,5,0,14,3,0.3333333333333333,1,40,4
Riverside Medical Center,Urban,132,9,4,0,1,0.25,5,182,1
Northside Community Hospital,Rural,13,8,5,21,2,0.3333333333333333,2,83,3
Springfield General Hospital,Urban,123,5,6,8,1,0.25,6,118,1
Springfield General Hospital,Urban,96,6,5,6,4,0.5,4,21,4
Riverside Medical Center,Urban,130,7,2,12,3,0.3333333333333333,10,39,4
Summit Health Center,Urban,159,9,0,18,3,0.3333333333333333,1,35,4
Riverside Medical Center,Urban,163,5,4,21,3,0.3333333333333333,1,28,4
Springfield General Hospital,Urban,146,2,1,7,1,0.25,5,177,1
Springfield General Hospital,Urban,76,4,6,19,1,0.2,3,104,1
Riverside Medical Center,Urban,153,4,3,10,3,0.25,1,38,3
Summit Health Center,Urban,190,7,0,5,3,0.25,3,68,3
Springfield General Hospital,Urban,76,8,4,13,4,1.0,3,10,5
Riverside Medical Center,Urban,149,5,3,4,3,0.25,2,49,4
Springfield General Hospital,Urban,139,5,3,9,1,0.25,3,124,1
Summit Health Center,Urban,71,10,3,5,1,0.25,8,129,1
Northside Community Hospital,Rural,21,10,2,15,1,0.25,2,193,1
St. Mary’s Regional Health,Rural,16,8,5,11,4,0.5,3,20,5
Riverside Medical Center,Urban,81,11,4,16,1,0.25,4,173,1
Northside Community Hospital,Rural,33,10,3,4,3,0.25,1,48,4
St. Mary’s Regional Health,Rural,42,8,1,3,3,0.25,1,37,4
Northside Community Hospital,Rural,12,10,0,23,2,0.3333333333333333,0,76,2
Northside Community Hospital,Rural,15,12,2,0,4,0.5,3,30,4
Summit Health Center,Urban,127,4,5,13,2,0.3333333333333333,7,104,1
Riverside Medical Center,Urban,84,3,6,16,1,0.25,1,129,1
Riverside Medical Center,Urban,50,7,1,6,2,0.25,10,116,1
Riverside Medical Center,Urban,124,5,1,8,1,0.2,9,152,1
Springfield General Hospital,Urban,104,4,6,7,2,0.3333333333333333,9,62,3
St. Mary’s Regional Health,Rural,26,4,3,21,4,1.0,0,7,5
St. Mary’s Regional Health,Rural,13,8,0,4,3,0.25,2,78,2
Summit Health Center,Urban,165,10,0,20,3,0.3333333333333333,5,25,4
St. Mary’s Regional Health,Rural,39,4,1,20,4,1.0,3,18,4
St. Mary’s Regional Health,Rural,41,1,6,9,3,0.25,3,30,4
Riverside Medical Center,Urban,65,4,0,9,2,0.25,1,118,1
St. Mary’s Regional Health,Rural,36,2,3,22,2,0.25,2,136,1
St. Mary’s Regional Health,Rural,17,1,5,16,2,0.3333333333333333,2,59,3
Summit Health Center,Urban,155,1,1,5,1,0.2,6,229,1
Summit Health Center,Urban,66,11,0,20,3,0.25,10,35,4
Northside Community Hospital,Rural,28,9,3,15,1,0.2,0,115,2
Springfield General Hospital,Urban,58,6,0,20,4,1.0,3,25,4
Summit Health Center,Urban,172,9,6,5,1,0.25,7,119,1
St. Mary’s Regional Health,Rural,43,2,3,6,1,0.2,1,191,1
Riverside Medical Center,Urban,114,8,3,22,2,0.25,9,56,4
Riverside Medical Center,Urban,110,8,2,9,3,0.3333333333333333,3,41,3
Springfield General Hospital,Urban,98,4,0,23,4,1.0,3,34,4
Riverside Medical Center,Urban,76,4,0,3,1,0.2,8,139,1
Springfield General Hospital,Urban,176,2,4,19,2,0.3333333333333333,10,119,1
Springfield General Hospital,Urban,185,11,6,15,4,1.0,6,16,5
Springfield General Hospital,Urban,180,8,5,20,1,0.25,10,169,1
Northside Community Hospital,Rural,31,10,4,1,4,0.5,2,20,4
Summit Health Center,Urban,197,7,0,15,4,0.5,4,29,4
Northside Community Hospital,Rural,23,7,4,12,1,0.25,1,260,1
Springfield General Hospital,Urban,176,1,5,14,2,0.25,2,148,1
Northside Community Hospital,Rural,15,4,2,0,4,1.0,3,9,4
Springfield General Hospital,Urban,180,12,5,20,4,0.5,6,15,4
Riverside Medical Center,Urban,198,12,0,10,2,0.25,9,146,1
Northside Community Hospital,Rural,49,11,5,13,3,0.3333333333333333,1,29,4
Riverside Medical Center,Urban,104,8,2,16,3,0.25,7,46,4
St. Mary’s Regional Health,Rural,14,7,2,7,2,0.3333333333333333,1,35,4
Springfield General Hospital,Urban,192,11,4,15,1,0.2,3,219,1
Riverside Medical Center,Urban,189,6,2,12,1,0.25,6,137,1
Riverside Medical Center,Urban,117,2,0,22,4,1.0,7,28,4
St. Mary’s Regional Health,Rural,47,3,5,13,3,0.25,2,28,4
St. Mary’s Regional Health,Rural,10,3,6,23,4,1.0,1,10,5
Summit Health Center,Urban,64,1,0,23,1,0.2,2,247,1
Summit Health Center,Urban,147,1,6,8,3,0.25,8,32,4
St. Mary’s Regional Health,Rural,11,9,5,17,2,0.3333333333333333,2,75,3
St. Mary’s Regional Health,Rural,38,4,0,0,1,0.2,2,189,1
Northside Community Hospital,Rural,20,11,1,22,2,0.25,2,40,3
St. Mary’s Regional Health,Rural,36,4,3,18,1,0.2,3,77,2
St. Mary’s Regional Health,Rural,35,8,4,23,2,0.25,0,93,2
St. Mary’s Regional Health,Rural,30,8,3,2,4,0.5,3,10,5
Summit Health Center,Urban,84,1,0,10,3,0.3333333333333333,4,50,3
St. Mary’s Regional Health,Rural,23,2,6,9,1,0.2,0,222,1
Summit Health Center,Urban,71,4,6,10,3,0.3333333333333333,1,27,4
Summit Health Center,Urban,174,8,5,17,3,0.25,3,66,2
Northside Community Hospital,Rural,46,5,3,22,1,0.25,0,146,1
Northside Community Hospital,Rural,22,7,2,9,2,0.25,0,120,1
Summit Health Center,Urban,87,8,0,16,4,0.5,3,31,4
St. Mary’s Regional Health,Rural,10,2,5,6,2,0.3333333333333333,2,97,2
Riverside Medical Center,Urban,180,9,1,0,4,1.0,6,9,5
Riverside Medical Center,Urban,170,7,4,21,2,0.25,6,104,1
Riverside Medical Center,Urban,140,10,5,11,4,0.5,1,14,5
Northside Community Hospital,Rural,38,8,2,9,2,0.3333333333333333,1,67,3
St. Mary’s Regional Health,Rural,43,12,2,15,4,0.5,0,36,4
Northside Community Hospital,Rural,48,1,0,21,2,0.25,1,100,1
Riverside Medical Center,Urban,174,4,5,3,2,0.3333333333333333,6,96,2
St. Mary’s Regional Health,Rural,37,6,4,0,1,0.2,3,145,1
St. Mary’s Regional Health,Rural,30,7,5,10,4,0.5,3,23,5
Springfield General Hospital,Urban,111,4,6,13,1,0.25,3,124,1
Northside Community Hospital,Rural,21,3,5,4,1,0.2,0,139,1
Riverside Medical Center,Urban,160,9,0,10,3,0.25,9,33,4
Summit Health Center,Urban,117,9,1,0,1,0.2,9,113,1
Northside Community Hospital,Rural,18,9,2,14,1,0.25,3,140,1
Summit Health Center,Urban,62,10,0,17,3,0.25,9,30,4
St. Mary’s Regional Health,Rural,20,7,4,11,1,0.2,3,162,1
Riverside Medical Center,Urban,55,7,5,15,2,0.25,4,107,1
Riverside Medical Center,Urban,98,2,0,20,2,0.3333333333333333,5,128,1
Summit Health Center,Urban,89,3,4,17,1,0.25,2,141,1
Springfield General Hospital,Urban,179,1,2,5,3,0.3333333333333333,4,19,4
Summit Health Center,Urban,86,7,0,14,3,0.3333333333333333,3,41,3
St. Mary’s Regional Health,Rural,27,11,4,12,1,0.25,1,109,1
Riverside Medical Center,Urban,69,4,4,10,3,0.25,9,33,4
Springfield General Hospital,Urban,110,5,5,17,2,0.3333333333333333,1,59,3
Northside Community Hospital,Rural,15,7,1,16,1,0.2,0,93,2
Northside Community Hospital,Rural,41,7,0,15,2,0.25,1,171,1
Summit Health Center,Urban,72,12,2,6,1,0.2,10,243,1
Riverside Medical Center,Urban,131,2,0,7,1,0.25,4,199,1
St. Mary’s Regional Health,Rural,32,8,6,14,1,0.25,2,186,1
Springfield General Hospital,Urban,55,3,6,0,2,0.3333333333333333,1,80,2
Summit Health Center,Urban,133,10,0,10,3,0.25,2,31,4
Northside Community Hospital,Rural,22,7,1,2,3,0.25,3,30,4
St. Mary’s Regional Health,Rural,37,5,6,7,2,0.25,1,88,3
Springfield General Hospital,Urban,125,1,3,20,2,0.25,8,147,1
Northside Community Hospital,Rural,12,5,2,1,4,1.0,2,14,5
Riverside Medical Center,Urban,56,6,3,21,4,0.5,3,9,5
Summit Health Center,Urban,124,9,3,12,3,0.25,2,29,4
St. Mary’s Regional Health,Rural,34,4,4,7,1,0.25,3,196,1
Springfield General Hospital,Urban,138,3,0,17,2,0.25,9,111,1
Summit Health Center,Urban,160,9,6,18,1,0.25,5,160,1
St. Mary’s Regional Health,Rural,14,4,4,8,2,0.3333333333333333,0,50,4
St. Mary’s Regional Health,Rural,27,10,5,21,4,0.5,2,15,5
Summit Health Center,Urban,146,8,3,20,4,0.5,1,23,4
St. Mary’s Regional Health,Rural,14,4,6,2,2,0.3333333333333333,1,56,3
Springfield General Hospital,Urban,51,8,4,11,1,0.25,5,142,1
Springfield General Hospital,Urban,81,6,4,23,1,0.25,2,275,1
Springfield General Hospital,Urban,189,4,0,13,2,0.3333333333333333,6,81,2
Summit Health Center,Urban,169,6,4,16,3,0.25,6,38,4
St. Mary’s Regional Health,Rural,36,7,0,7,3,0.25,1,79,3
St. Mary’s Regional Health,Rural,22,3,1,1,1,0.2,1,123,1
Northside Community Hospital,Rural,19,5,0,22,3,0.25,2,83,3
Northside Community Hospital,Rural,40,12,0,22,4,0.5,1,34,4
Summit Health Center,Urban,85,6,3,12,1,0.25,2,260,1
Summit Health Center,Urban,57,1,5,15,4,1.0,6,11,4
Northside Community Hospital,Rural,31,2,4,11,1,0.2,0,327,1
Riverside Medical Center,Urban,125,1,5,5,4,1.0,4,31,4
Northside Community Hospital,Rural,39,4,6,5,1,0.2,0,149,1
Northside Community Hospital,Rural,26,6,6,15,2,0.25,3,64,3
Riverside Medical Center,Urban,52,6,4,12,2,0.3333333333333333,10,116,1
Springfield General Hospital,Urban,71,5,1,3,3,0.3333333333333333,3,34,4
Riverside Medical Center,Urban,162,5,1,6,4,1.0,10,17,4
Riverside Medical Center,Urban,173,7,0,3,3,0.25,6,62,3
St. Mary’s Regional Health,Rural,21,2,0,10,1,0.25,1,282,1
Springfield General Hospital,Urban,156,10,1,7,2,0.3333333333333333,5,83,3
Springfield General Hospital,Urban,172,11,6,0,2,0.3333333333333333,6,40,4
Riverside Medical Center,Urban,196,4,1,0,2,0.3333333333333333,5,83,2
Springfield General Hospital,Urban,71,6,6,8,4,1.0,9,16,5
Springfield General Hospital,Urban,83,12,6,1,4,1.0,8,16,4
Northside Community Hospital,Rural,23,4,2,23,4,0.5,3,15,5
Springfield General Hospital,Urban,127,7,6,7,4,1.0,9,22,4
Summit Health Center,Urban,86,10,0,7,4,1.0,7,7,5
Riverside Medical Center,Urban,187,2,3,0,3,0.25,6,35,4
Summit Health Center,Urban,89,11,5,22,1,0.25,3,108,1
Summit Health Center,Urban,118,7,4,10,3,0.25,8,51,3
Springfield General Hospital,Urban,63,12,1,18,2,0.3333333333333333,8,117,1
Summit Health Center,Urban,68,11,1,1,2,0.25,2,64,3
Springfield General Hospital,Urban,139,5,5,15,2,0.3333333333333333,6,97,2
St. Mary’s Regional Health,Rural,43,10,6,3,3,0.25,0,24,4
Springfield General Hospital,Urban,184,7,5,11,1,0.2,6,151,1
Northside Community Hospital,Rural,47,6,6,13,3,0.25,1,41,4
Summit Health Center,Urban,101,6,5,5,2,0.3333333333333333,4,67,3
Riverside Medical Center,Urban,81,3,0,17,3,0.3333333333333333,9,54,3
Riverside Medical Center,Urban,175,8,3,14,1,0.2,3,206,1
Northside Community Hospital,Rural,25,1,2,6,4,1.0,3,24,4
Riverside Medical Center,Urban,151,4,4,14,1,0.2,10,100,2
St. Mary’s Regional Health,Rural,40,8,0,16,4,0.5,0,20,4
St. Mary’s Regional Health,Rural,26,6,5,8,1,0.2,0,132,1
Riverside Medical Center,Urban,188,4,1,6,1,0.2,2,157,1
Riverside Medical Center,Urban,116,5,2,6,4,0.5,1,18,5
St. Mary’s Regional Health,Rural,41,1,4,12,1,0.2,3,268,1
Springfield General Hospital,Urban,73,11,5,21,4,1.0,1,8,5
St. Mary’s Regional Health,Rural,25,8,4,9,3,0.25,2,42,4
Summit Health Center,Urban,161,1,5,13,2,0.25,7,144,1
Springfield General Hospital,Urban,81,6,5,8,4,1.0,3,22,4
Springfield General Hospital,Urban,163,10,1,11,4,0.5,4,14,4
Summit Health Center,Urban,183,4,0,18,4,1.0,10,14,5
Summit Health Center,Urban,65,2,3,16,4,0.5,9,14,5
Riverside Medical Center,Urban,185,3,5,8,3,0.25,6,33,4
Riverside Medical Center,Urban,91,2,0,10,2,0.3333333333333333,1,137,1
Northside Community Hospital,Rural,23,10,2,16,3,0.25,2,40,3
Northside Community Hospital,Rural,37,7,6,17,4,0.5,2,17,5
Riverside Medical Center,Urban,100,1,6,10,1,0.25,8,187,1
St. Mary’s Regional Health,Rural,18,3,5,23,1,0.2,0,204,1
Springfield General Hospital,Urban,67,4,3,16,1,0.25,5,152,1
Springfield General Hospital,Urban,62,9,0,18,2,0.25,10,85,2
Northside Community Hospital,Rural,45,9,4,1,4,1.0,0,17,4
Summit Health Center,Urban,164,9,6,1,2,0.3333333333333333,2,51,3
St. Mary’s Regional Health,Rural,19,9,1,3,3,0.3333333333333333,0,17,4
Springfield General Hospital,Urban,114,3,1,13,3,0.3333333333333333,9,23,4
Summit Health Center,Urban,155,6,3,21,1,0.25,3,105,1
Northside Community Hospital,Rural,15,11,4,12,1,0.2,2,202,1
Summit Health Center,Urban,104,9,0,13,1,0.25,6,203,1
St. Mary’s Regional Health,Rural,40,4,5,0,2,0.3333333333333333,1,65,3
St. Mary’s Regional Health,Rural,33,12,6,7,1,0.2,0,170,1
Riverside Medical Center,Urban,73,10,1,8,3,0.3333333333333333,9,32,4
Riverside Medical Center,Urban,108,6,6,13,2,0.3333333333333333,1,69,2
Springfield General Hospital,Urban,176,6,0,6,3,0.3333333333333333,1,58,3
Northside Community Hospital,Rural,25,9,5,16,1,0.25,3,134,1
Springfield General Hospital,Urban,150,3,1,10,2,0.25,9,79,3
St. Mary’s Regional Health,Rural,29,1,1,13,2,0.25,1,125,1
St. Mary’s Regional Health,Rural,25,9,2,8,1,0.2,2,132,1
Northside Community Hospital,Rural,44,9,3,13,1,0.2,1,146,1
Summit Health Center,Urban,134,6,1,2,2,0.25,1,172,1
Northside Community Hospital,Rural,24,5,0,19,1,0.25,1,137,1
Summit Health Center,Urban,141,4,4,13,4,1.0,8,11,4
Northside Community Hospital,Rural,26,5,4,21,3,0.3333333333333333,3,20,5
Springfield General Hospital,Urban,81,8,2,9,4,0.5,3,14,4
St. Mary’s Regional Health,Rural,23,5,1,3,3,0.3333333333333333,3,32,4
Summit Health Center,Urban,89,3,1,18,4,1.0,3,18,5
Summit Health Center,Urban,187,6,2,2,2,0.25,10,110,1
Springfield General Hospital,Urban,170,2,2,23,4,0.5,1,19,4
Springfield General Hospital,Urban,110,6,5,19,4,0.5,4,19,4
Springfield General Hospital,Urban,146,4,5,9,1,0.25,6,117,2
Summit Health Center,Urban,169,3,6,9,3,0.3333333333333333,2,40,3
Summit Health Center,Urban,170,4,5,20,3,0.25,10,53,3
Springfield General Hospital,Urban,153,5,3,23,3,0.3333333333333333,5,43,3
Northside Community Hospital,Rural,30,12,4,21,1,0.25,1,158,1
Springfield General Hospital,Urban,122,6,3,18,4,1.0,9,10,4
Summit Health Center,Urban,143,10,3,21,1,0.2,3,143,1
Riverside Medical Center,Urban,55,12,2,18,1,0.2,9,289,1
Northside Community Hospital,Rural,20,10,6,18,2,0.25,1,55,3
Riverside Medical Center,Urban,94,4,2,19,3,0.25,4,38,4
Summit Health Center,Urban,94,2,3,11,3,0.25,10,87,2
Northside Community Hospital,Rural,34,9,3,3,4,1.0,2,11,4
Summit Health Center,Urban,164,4,5,10,2,0.3333333333333333,7,62,3
St. Mary’s Regional Health,Rural,31,6,4,23,2,0.3333333333333333,3,74,2
Riverside Medical Center,Urban,86,5,1,10,2,0.25,7,121,1
St. Mary’s Regional Health,Rural,15,2,6,0,4,0.5,2,14,5
Northside Community Hospital,Rural,18,5,2,14,4,1.0,0,16,5
Summit Health Center,Urban,129,12,3,14,1,0.25,8,258,1
St. Mary’s Regional Health,Rural,12,11,4,20,1,0.25,1,199,1
Northside Community Hospital,Rural,33,11,5,18,2,0.25,0,94,2
St. Mary’s Regional Health,Rural,32,12,1,10,2,0.3333333333333333,1,120,1
Northside Community Hospital,Rural,49,7,4,23,2,0.25,1,52,4
Summit Health Center,Urban,142,12,5,15,3,0.3333333333333333,1,22,5
Springfield General Hospital,Urban,86,7,0,15,2,0.3333333333333333,9,155,1
Northside Community Hospital,Rural,42,3,6,6,3,0.25,2,30,4
Summit Health Center,Urban,177,4,0,7,4,1.0,2,9,5
Riverside Medical Center,Urban,50,3,1,10,3,0.25,7,45,3
St. Mary’s Regional Health,Rural,38,4,0,16,2,0.3333333333333333,0,93,2
Riverside Medical Center,Urban,62,7,2,14,4,0.5,8,14,5
St. Mary’s Regional Health,Rural,14,2,2,5,4,0.5,2,22,5
Northside Community Hospital,Rural,37,3,4,14,3,0.25,3,45,3
Springfield General Hospital,Urban,162,8,3,20,1,0.25,5,154,1
Northside Community Hospital,Rural,20,2,2,12,3,0.3333333333333333,1,53,4
Springfield General Hospital,Urban,128,10,6,15,4,1.0,1,14,5
Riverside Medical Center,Urban,118,5,5,14,2,0.25,1,90,2
Riverside Medical Center,Urban,87,11,0,20,1,0.25,6,114,1
Summit Health Center,Urban,130,9,5,3,2,0.3333333333333333,6,53,3
Summit Health Center,Urban,78,12,3,21,3,0.25,1,69,3
St. Mary’s Regional Health,Rural,40,10,3,14,4,1.0,0,10,5
Riverside Medical Center,Urban,72,6,2,14,1,0.25,5,111,2
Northside Community Hospital,Rural,12,3,4,23,3,0.3333333333333333,3,22,5
Riverside Medical Center,Urban,105,11,0,22,1,0.25,5,197,1
Summit Health Center,Urban,175,11,0,15,4,1.0,4,20,4
Northside Community Hospital,Rural,10,7,0,1,3,0.25,0,61,3
St. Mary’s Regional Health,Rural,37,5,5,5,4,0.5,0,8,5
Riverside Medical Center,Urban,95,12,4,4,2,0.25,9,154,1
Northside Community Hospital,Rural,31,2,4,22,3,0.3333333333333333,0,73,3
St. Mary’s Regional Health,Rural,50,12,6,6,2,0.3333333333333333,1,63,3
Springfield General Hospital,Urban,198,3,0,22,2,0.3333333333333333,8,116,1
Springfield General Hospital,Urban,186,10,2,1,3,0.25,1,32,4
Springfield General Hospital,Urban,199,9,4,8,4,0.5,3,12,4
Springfield General Hospital,Urban,152,4,1,8,1,0.2,4,171,1
Riverside Medical Center,Urban,83,5,5,21,4,1.0,3,5,5
Springfield General Hospital,Urban,55,1,0,2,1,0.2,10,269,1
Riverside Medical Center,Urban,199,8,2,14,3,0.3333333333333333,9,26,4
St. Mary’s Regional Health,Rural,17,10,4,9,4,0.5,1,22,5
Northside Community Hospital,Rural,11,1,3,1,2,0.3333333333333333,2,120,1
St. Mary’s Regional Health,Rural,40,8,0,11,1,0.25,2,187,1
Northside Community Hospital,Rural,44,9,1,18,4,0.5,2,11,5
Riverside Medical Center,Urban,59,12,3,7,2,0.3333333333333333,8,102,1
Summit Health Center,Urban,84,4,5,18,1,0.2,4,119,1
Summit Health Center,Urban,135,12,3,19,4,1.0,2,12,4
Riverside Medical Center,Urban,164,3,1,20,2,0.3333333333333333,4,58,3
Springfield General Hospital,Urban,83,7,0,3,2,0.3333333333333333,3,176,1
St. Mary’s Regional Health,Rural,29,3,0,21,1,0.25,3,160,1
Springfield General Hospital,Urban,111,11,6,20,4,0.5,4,14,4
Northside Community Hospital,Rural,15,5,3,0,1,0.25,1,159,1
Riverside Medical Center,Urban,112,9,6,8,1,0.25,2,92,2
Summit Health Center,Urban,93,11,1,1,3,0.25,4,14,5
Riverside Medical Center,Urban,195,10,4,21,3,0.3333333333333333,7,37,4
Springfield General Hospital,Urban,53,9,1,21,3,0.25,5,43,4
St. Mary’s Regional Health,Rural,21,12,6,23,1,0.25,3,188,1
Riverside Medical Center,Urban,129,10,1,22,1,0.25,2,117,1
Springfield General Hospital,Urban,175,12,2,11,3,0.3333333333333333,4,53,3
Northside Community Hospital,Rural,38,8,1,11,2,0.3333333333333333,3,95,2
Summit Health Center,Urban,114,2,0,16,2,0.25,7,83,2
Northside Community Hospital,Rural,29,2,4,19,1,0.2,0,161,1
St. Mary’s Regional Health,Rural,37,2,4,23,3,0.25,0,84,2
Summit Health Center,Urban,106,5,1,2,4,0.5,4,11,5
St. Mary’s Regional Health,Rural,37,4,6,10,3,0.3333333333333333,2,37,4
Northside Community Hospital,Rural,12,2,6,4,1,0.2,2,223,1
Summit Health Center,Urban,74,9,3,2,3,0.25,7,36,4
Riverside Medical Center,Urban,149,3,1,5,1,0.2,3,222,1
Northside Community Hospital,Rural,45,11,1,3,3,0.25,2,55,3
St. Mary’s Regional Health,Rural,47,10,2,13,1,0.2,2,122,1
Riverside Medical Center,Urban,156,4,5,3,4,1.0,5,16,5
Northside Community Hospital,Rural,27,2,3,13,1,0.25,1,188,1
Summit Health Center,Urban,118,8,0,16,2,0.3333333333333333,1,97,2
Summit Health Center,Urban,149,7,5,19,1,0.2,7,218,1
Springfield General Hospital,Urban,187,10,3,9,2,0.3333333333333333,10,33,4
Summit Health Center,Urban,124,6,1,6,1,0.25,3,192,1
Riverside Medical Center,Urban,97,9,4,23,2,0.25,4,74,3
Northside Community Hospital,Rural,20,5,2,17,4,0.5,2,12,4
Summit Health Center,Urban,120,5,2,6,1,0.2,4,165,1
Summit Health Center,Urban,171,7,3,16,1,0.2,3,173,1
Springfield General Hospital,Urban,176,9,0,22,2,0.25,2,94,2
